Agents: 161 Resources: 442 K Value: 10
339, 286, 74, 132, 300, 402, 247, 12, 105, 335 
332, 177, 438, 349, 381, 230, 118, 86, 182, 346 
287, 339, 410, 317, 59, 143, 369, 114, 277, 176 
238, 223, 250, 150, 235, 395, 37, 91, 369, 6 
30, 12, 240, 7, 267, 148, 312, 326, 368, 406 
422, 410, 161, 323, 336, 266, 94, 326, 219, 189 
328, 301, 435, 432, 111, 87, 165, 197, 218, 337 
374, 200, 109, 359, 310, 170, 177, 256, 183, 249 
233, 28, 143, 203, 18, 51, 383, 45, 199, 319 
269, 67, 0, 93, 281, 5, 266, 158, 113, 147 
372, 198, 7, 271, 416, 362, 220, 177, 316, 310 
83, 223, 250, 431, 395, 369, 6, 298, 310, 315 
128, 30, 267, 312, 51, 175, 108, 303, 284, 406 
222, 282, 361, 314, 297, 238, 204, 208, 283, 60 
143, 44, 88, 384, 72, 335, 199, 98, 241, 187 
210, 400, 347, 86, 432, 330, 167, 272, 106, 353 
310, 374, 182, 283, 15, 300, 435, 34, 109, 64 
71, 292, 372, 249, 67, 97, 428, 7, 386, 288 
360, 107, 295, 44, 241, 278, 258, 439, 28, 22 
131, 405, 303, 161, 297, 314, 222, 0, 113, 329 
339, 268, 248, 389, 420, 56, 410, 190, 20, 117 
33, 63, 236, 144, 26, 256, 196, 276, 393, 135 
43, 371, 67, 362, 423, 116, 18, 125, 264, 396 
287, 90, 39, 268, 389, 56, 410, 76, 58, 169 
11, 337, 302, 41, 420, 54, 350, 205, 323, 15 
222, 311, 52, 233, 426, 140, 213, 256, 282, 393 
424, 147, 342, 308, 318, 239, 360, 348, 146, 421 
413, 86, 400, 167, 432, 397, 171, 243, 274, 92 
33, 2, 144, 256, 196, 393, 135, 130, 279, 122 
441, 4, 84, 2, 3, 47, 335, 45, 322, 160 
56, 254, 156, 386, 249, 81, 186, 287, 277, 190 
440, 266, 129, 320, 85, 378, 46, 169, 427, 331 
214, 354, 53, 16, 92, 246, 305, 60, 293, 330 
403, 244, 139, 204, 35, 313, 200, 28, 229, 384 
108, 326, 267, 361, 297, 128, 312, 12, 30, 307 
312, 191, 323, 30, 113, 108, 62, 297, 314, 51 
389, 27, 410, 156, 440, 90, 39, 339, 20, 184 
149, 377, 287, 90, 103, 383, 33, 181, 188, 117 
113, 314, 297, 81, 363, 131, 161, 222, 169, 331 
